Doctor's Name,Speciality,Keywords,Experience (Years),Rating,Location,Treated_Diseases,Phone,Email
Dr. Prashant Patel,Neurologist,"Dizziness, Numbness, Tremors, Memory Loss, Multiple Sclerosis",33,4.9,Bangalore,"Amyotrophic Lateral Sclerosis (ALS), Myasthenia Gravis, Peripheral Neuropathy",+91 97988 76522,prashantpatel@neurocare.net
Dr. Anika Kumar,Gynecologist,"Pelvic Pain, Irregular Periods, Ovarian Cysts, Hysterectomy, Fertility Treatment",7,4.3,Chennai,"Polycystic Ovary Syndrome (PCOS), Premenstrual Syndrome (PMS), Vaginitis",+91 96877 65411,anikakumar@womenshealth.org
Dr. Vikram Sharma,Orthopedist,"Joint Pain, Muscle Sprains, Ligament Tears, Hip Replacement, Shoulder Injuries",19,4.6,Hyderabad,"Carpal Tunnel Syndrome, Rotator Cuff Tears, Spinal Disc Herniation",+91 95766 54300,vikramsharma@orthopedics.com
Dr. Neha Patel,Pediatrician,"Developmental Delays, Childhood Illnesses, Immunizations, Nutrition, Allergies",12,4.5,Kolkata,"Croup, Fifth Disease, Roseola",+91 94655 43299,nehapatel@pediatrics.in
Dr. Suresh Verma,Gastroenterologist,"Heartburn, Bloating, Nausea, Vomiting, Liver Disease",25,5.0,Pune,"Celiac Disease, Ulcerative Colitis, Hepatitis",+91 93544 32188,sureshverma@gastroclinic.com
Dr. Deepika Singh,Endocrinologist,"Metabolic Disorders, Pituitary Problems, Adrenal Gland Issues, Osteoporosis",6,4.0,Ahmedabad,"Gestational Diabetes, Cushing's Syndrome, Addison's Disease",+91 92433 21077,deepikasingh@endocrinology.net
Dr. Amit Patel,Urologist,"Bladder Problems, Erectile Dysfunction, Male Infertility, Prostate Cancer",18,4.8,Jaipur,"Overactive Bladder, Prostate Cancer, Testicular Cancer",+91 91322 10966,amitpatel@urology.org
Dr. Ritu Kumar,Ophthalmologist,"Refractive Errors, Retinal Detachment, Eye Trauma, Corneal Diseases",4,3.8,Lucknow,"Age-related Macular Degeneration (AMD), Glaucoma, Cataracts",+91 90211 09855,ritukumar@eyeclinic.com
Dr. Rohan Reddy,Cardiologist,"Angina, Congestive Heart Failure, High Triglycerides, Pacemaker Implantation",22,4.9,Mumbai,"Atherosclerosis, Cardiac Arrhythmias, Peripheral Artery Disease (PAD)",+91 98101 12235,rohanreddy@heartcare.com
Dr. Anjali Joshi,Dermatologist,"Warts, Moles, Skin Cancer Screening, Chemical Peels, Laser Hair Removal",14,4.6,Delhi,"Melanoma, Basal Cell Carcinoma, Squamous Cell Carcinoma",+91 99001 12246,anjalijoshi@dermacare.in
Dr. Vikram Khanna,Neurologist,"Epilepsy, Multiple Sclerosis, Neuropathy, Alzheimer's Disease, Stroke Rehabilitation",30,5.0,Bangalore,"Frontotemporal Dementia, Lewy Body Dementia, Vascular Dementia",+91 97001 12257,vikramkhanna@neurospecialists.com
Dr. Neha Singh,Gynecologist,"Prenatal Care, Postnatal Care, Family Planning, Hysterectomy, Pap Smears",5,4.2,Chennai,"Cervical Dysplasia, Ectopic Pregnancy, Pelvic Inflammatory Disease (PID)",+91 96001 12268,nehasingh2@womenshealthclinic.in
Dr. Suresh Sharma,Orthopedist,"Joint Replacement, Arthroscopy, Sports Medicine, Bone Tumors, Fracture Management",36,4.8,Hyderabad,"Osteomyelitis, Septic Arthritis, Avascular Necrosis",+91 95001 12279,sureshsharma2@orthodoc.com
Dr. Deepika Verma,Pediatrician,"Childhood Vaccinations, Growth Monitoring, Developmental Assessment, Behavioral Issues",3,3.9,Kolkata,"Attention-Deficit/Hyperactivity Disorder (ADHD), Autism Spectrum Disorder (ASD), Cerebral Palsy",+91 94001 12290,deepikaverma@pediatrics.net
Dr. Amit Kumar,Gastroenterologist,"Colonoscopy, Endoscopy, Liver Biopsy, Inflammatory Bowel Disease, Pancreatitis",27,4.7,Pune,"Primary Biliary Cholangitis (PBC), Autoimmune Hepatitis, Pancreatic Cancer",+91 93001 12301,amitkumar2@gastrodrs.com
Dr. Ritu Joshi,Endocrinologist,"Diabetes Management, Thyroid Nodules, Osteoporosis Treatment, Growth Hormone Deficiency",2,3.7,Ahmedabad,"Acromegaly, Conn's Syndrome, Cushing's Disease",+91 92001 12312,ritujoshi@endoexperts.com
Dr. Sachin Patel,Urologist,"Kidney Stone Removal, Prostate Enlargement Treatment, Bladder Cancer, Vasectomy",39,4.9,Jaipur,"Benign Prostatic Hyperplasia (BPH), Interstitial Cystitis, Peyronie's Disease",+91 91001 12323,sachinpatel@urologyassociates.in
Dr. Tanvi Sharma,Ophthalmologist,"LASIK Surgery, Cataract Surgery, Glaucoma Treatment, Diabetic Retinopathy Screening",20,4.4,Lucknow,"Branch Retinal Vein Occlusion (BRVO), Central Retinal Vein Occlusion (CRVO), Optic Neuritis",+91 90001 12334,tanvisharma@eyeinstitute.com
---,---,---,---,---,---,---,,
Dr. Anjali Sharma,Cardiologist,"Chest Pain, Palpitations, High Blood Pressure, Heart Failure",15,4.8,Mumbai,"Coronary Artery Disease, Arrhythmia, Cardiomyopathy",+91 98765 43210,anjali.sharma@heartcare.com
Dr. Rajesh Kumar,Dermatologist,"Acne, Eczema, Psoriasis, Skin Infections, Hair Loss",8,4.2,Delhi,"Skin Cancer, Allergic Reactions, Fungal Infections",+91 99887 76655,rajesh.kumar@skinsolutions.in
Dr. Priya Verma,Neurologist,"Headaches, Migraines, Seizures, Stroke, Parkinson's Disease",22,4.5,Bangalore,"Multiple Sclerosis, Epilepsy, Neuropathy",+91 97654 32109,priya.verma@brainclinic.com
Dr. Sanjay Patel,Orthopedist,"Joint Pain, Back Pain, Arthritis, Fractures, Sports Injuries",12,4.9,Chennai,"Osteoporosis, Spinal Stenosis, Ligament Tears",+91 96543 21098,sanjay.patel@orthopediccare.com
Dr. Meera Nair,Gynecologist,"Pregnancy, Infertility, Menopause, PCOS",18,4.7,Kolkata,"Endometriosis, Uterine Fibroids, Ovarian Cysts",+91 95432 10987,meera.nair@womenshealth.in
Dr. Vivek Singh,Gastroenterologist,"Abdominal Pain, Bloating, Diarrhea, Constipation, GERD",9,4.3,Hyderabad,"Irritable Bowel Syndrome (IBS), Ulcerative Colitis, Crohn's Disease",+91 94321 09876,vivek.singh@digestivecare.com
Dr. Deepa Reddy,Endocrinologist,"Diabetes, Thyroid Disorders, Hormone Imbalance",14,4.6,Pune,"Hypothyroidism, Hyperthyroidism, Cushing's Syndrome",+91 93210 98765,deepa.reddy@hormoneclinic.com
Dr. Arvind Joshi,Pulmonologist,"Cough, Shortness of Breath, Asthma, COPD, Pneumonia",25,4.4,Ahmedabad,"Bronchitis, Sleep Apnea, Lung Cancer",+91 92109 87654,arvind.joshi@lungcare.com
Dr. Lakshmi Menon,Ophthalmologist,"Vision Problems, Cataracts, Glaucoma, Eye Infections",11,4.1,Jaipur,"Diabetic Retinopathy, Macular Degeneration, Dry Eye Syndrome",+91 91098 76543,lakshmi.menon@eyecare.com
Dr. Rohit Khanna,Urologist,"Urinary Infections, Kidney Stones, Prostate Problems",7,4.0,Lucknow,"Erectile Dysfunction, Incontinence, Bladder Cancer",+91 90987 65432,rohit.khanna@urologyclinic.com
Dr. Shweta Gupta,Pediatrician,"Childhood Illnesses, Vaccinations, Growth Problems",16,4.7,Mumbai,"Asthma, Allergies, Chickenpox",+91 98765 43201,shweta.gupta@kidshealth.com
Dr. Karthik Iyer,Cardiologist,"High Cholesterol, Angina, Heart Attack, Valve Disease",10,4.9,Delhi,"Atrial Fibrillation, Peripheral Artery Disease, Congenital Heart Defects",+91 99887 76644,karthik.iyer@heartsolutions.in
Dr. Ananya Das,Dermatologist,"Skin Rashes, Warts, Moles, Pigmentation",6,4.5,Bangalore,"Rosacea, Cellulite, Vitiligo",+91 97654 32198,ananya.das@skinsolutions.in
Dr. Vikram Shah,Neurologist,"Tremors, Memory Loss, Dizziness, Nerve Pain",13,4.3,Chennai,"Amyotrophic Lateral Sclerosis (ALS), Bell's Palsy, Spinal Cord Injury",+91 96543 21087,vikram.shah@brainclinic.com
Dr. Neha Reddy,Orthopedist,"Knee Pain, Hip Pain, Shoulder Pain, Ankle Sprains",20,4.6,Kolkata,"Carpal Tunnel Syndrome, Bursitis, Plantar Fasciitis",+91 95432 10976,neha.reddy@orthopediccare.com
Dr. Aditya Kumar,Gynecologist,"Prenatal Care, Postnatal Care, Pap Smears, Contraception",19,4.8,Hyderabad,"Pelvic Inflammatory Disease (PID), Cervical Dysplasia, Vaginal Infections",+91 94321 09865,aditya.kumar@womenshealth.in
Dr. Smita Patel,Gastroenterologist,"Heartburn, Indigestion, Nausea, Vomiting",5,4.2,Pune,"Gallstones, Hepatitis, Cirrhosis",+91 93210 98754,smita.patel@digestivecare.com
Dr. Rohan Sharma,Endocrinologist,"PCOS, Infertility related to hormones, Growth Hormone Deficiency",17,4.7,Ahmedabad,"Addison's Disease, Pituitary Tumors, Hyperparathyroidism",+91 92109 87643,rohan.sharma@hormoneclinic.com
Dr. Divya Iyer,Pulmonologist,"Chronic Cough, Wheezing, Bronchiectasis, Pulmonary Fibrosis",21,4.5,Jaipur,"Emphysema, Sarcoidosis, Pleural Effusion",+91 91098 76532,divya.iyer@lungcare.com
Dr. Tarun Kumar,Ophthalmologist,"Refractive Errors, Lazy Eye, Double Vision",9,4.4,Lucknow,"Age-Related Macular Degeneration (AMD), Retinal Detachment, Styes",+91 90987 65421,tarun.kumar@eyecare.com
Dr. Priya Joshi,Urologist,"Enlarged Prostate, Bladder Control Problems, Kidney Cancer",11,3.8,Mumbai,"Prostatitis, Overactive Bladder, Male Infertility",+91 98765 43199,priya.joshi@urologyclinic.com
Dr. Amit Verma,Pediatrician,"Fever, Infections, Developmental Delays",14,4.6,Delhi,"Ear Infections, Strep Throat, Flu",+91 99887 76633,amit.verma@kidshealth.com
Dr. Sunita Menon,Cardiologist,"Arrhythmias, Congestive Heart Failure, Cardiomyopathy",23,4.7,Bangalore,"Aortic Stenosis, Mitral Valve Prolapse, Pericarditis",+91 97654 32187,sunita.menon@heartsolutions.in
Dr. Rajeshwari Patel,Dermatologist,"Skin Allergies, Hives, Contact Dermatitis",7,4.3,Chennai,"Melasma, Actinic Keratosis, Seborrheic Dermatitis",+91 96543 21076,rajeshwari.patel@skinsolutions.in
Dr. Mahesh Sharma,Neurologist,"Multiple Sclerosis, Parkinson's disease, Alzheimer's",28,4.9,Kolkata,"Huntington's Disease, Myasthenia Gravis, Peripheral Neuropathy",+91 95432 10965,mahesh.sharma@brainclinic.com
Dr. Kavita Singh,Orthopedist,"Fractures, Dislocations, Ligament Injuries",15,4.4,Hyderabad,"Scoliosis, Kyphosis, Lordosis",+91 94321 09854,kavita.singh@orthopediccare.com
Dr. Suresh Iyer,Gynecologist,"Hysterectomy, Oophorectomy, Tubal Ligation",12,4.5,Pune,"Vulvodynia, Adenomyosis, Bartholin's Cyst",+91 93210 98743,suresh.iyer@womenshealth.in
Dr. Leela Nair,Gastroenterologist,"Liver Disease, Pancreatitis, Celiac Disease",8,4.1,Ahmedabad,"Gastritis, Esophagitis, Bile Duct Stones",+91 92109 87632,leela.nair@digestivecare.com
Dr. Rahul Verma,Endocrinologist,"Osteoporosis, Polycystic Ovarian Syndrome (PCOS), Thyroiditis",19,4.8,Jaipur,"Diabetes Insipidus, Graves' Disease, Prolactinoma",+91 91098 76521,rahul.verma@hormoneclinic.com
Dr. Shruti Joshi,Pulmonologist,"Interstitial Lung Disease, Occupational Lung Disease, Pleurisy",10,4.6,Lucknow,"Asbestosis, Silicosis, Black Lung Disease",+91 90987 65410,shruti.joshi@lungcare.com
Dr. Arvind Kumar,Ophthalmologist,"Corneal Ulcers, Conjunctivitis, Blepharitis",13,3.9,Mumbai,"Keratoconus, Strabismus, Ptosis",+91 98765 43188,arvind.kumar@eyecare.com
Dr. Pooja Sharma,Urologist,"Benign Prostatic Hyperplasia (BPH), Urinary Tract Infections (UTIs)",6,4.2,Delhi,"Urethral Stricture, Hydrocele, Varicocele",+91 99887 76622,pooja.sharma@urologyclinic.com
Dr. Vijay Patel,Pediatrician,"Allergies, Asthma, Autism Spectrum Disorder",21,4.9,Bangalore,"Cystic Fibrosis, Down Syndrome, Cerebral Palsy",+91 97654 32176,vijay.patel@kidshealth.com
Dr. Anjana Iyer,Cardiologist,"Pericarditis, Myocarditis, Dilated Cardiomyopathy",17,4.5,Chennai,"Cardiac Tamponade, Restrictive Cardiomyopathy, Hypertrophic Cardiomyopathy",+91 96543 21065,anjana.iyer@heartsolutions.in
